DATE;OMSET;SPEND;ROAS
01/09/24;398000;391389;1,0
02/09/24;57114000;7531888;7,6
03/09/24;8990219;9862092;0,9
04/09/24;6693000;9083107;0,7
05/09/24;9641000;9370561;1,0
06/09/24;6284329;7669286;0,8
07/09/24;9770270;7217910;1,4
08/09/24;2214000;1389212;1,6
09/09/24;10610000;10040214;1,1
10/09/24;7749000;10466007;0,7
11/09/24;7419000;7808539;1,0
12/09/24;5240334;10139244;0,5
13/09/24;7049000;9863001;0,7
14/09/24;10628000;7684228;1,4
15/09/24;1534000;2656226;0,6
16/09/24;5835429;3692802;1,6
17/09/24;8990668;11547675;0,8
18/09/24;11581334;12336900;0,9
19/09/24;8536000;12168651;0,7
20/09/24;9595000;10579966;0,9
21/09/24;7315000;9095625;0,8
22/09/24;0;250584;0,0
23/09/24;8671634;9772776;0,9
24/09/24;9496000;10110464;0,9
25/09/24;8579000;10870810;0,8
26/09/24;8890000;9329632;1,0
27/09/24;4785030;7115416;0,7
28/09/24;6227000;5672016;1,1
29/09/24;0;202572;0,0
30/09/24;7640000;8177562;0,9
01/10/24;5654500;7404960;0,8
02/10/24;5565000;6648345;0,8
03/10/24;10161000;8981805;1,1
04/10/24;4789000;11532465;0,4
05/10/24;6360060;6564016;1,0
06/10/24;995000;896740;1,1
07/10/24;7065150;5587380;1,3
08/10/24;6204150;7534488;0,8
09/10/24;5723000;6368420;0,9
10/10/24;9681000;6950489;1,4
11/10/24;7385800;6631720;1,1
12/10/24;5012000;6627738;0,8
13/10/24;1758000;1300815;1,4
14/10/24;9684000;8238495;1,2
15/10/24;7257000;10697064;0,7
16/10/24;7271000;1813728;4,0
17/10/24;5758000;6304864;0,9
18/10/24;6658000;8551400;0,8
19/10/24;3589000;2698535;1,3
20/10/24;398000;445422;0,9
21/10/24;5043000;4008798;1,3
22/10/24;6772000;0;0,0
23/10/24;2841000;2411892;1,2
24/10/24;5754000;7042540;0,8
25/10/24;5701000;8082016;0,7
26/10/24;4464000;4507080;1,0
27/10/24;1194000;2348192;0,5
28/10/24;4829000;5443536;0,9
29/10/24;6801000;5086129;1,3
30/10/24;1875000;2305098;0,8
31/10/24;5436000;4616976;1,2
01/11/24;4042000;5953872;0,7
02/11/24;6491000;2590896;2,5
03/11/24;2478000;3076544;0,8
04/11/24;4141000;5864662;0,7
05/11/24;4599000;5445888;0,8
06/11/24;6239000;7514738;0,8
07/11/24;5126000;7777680;0,7
08/11/24;4749000;6227739;0,8
09/11/24;6311000;8348074;0,8
10/11/24;657000;907400;0,7
11/11/24;7105000;7293414;1,0
12/11/24;4808000;5177486;0,9
13/11/24;3270000;6212360;0,5
14/11/24;5362000;6483402;0,8
15/11/24;5083000;6765480;0,8
16/11/24;1901000;950746;2,0
17/11/24;5556000;3075943;1,8
18/11/24;13013000;12306701;1,1
19/11/24;11654000;11303915;1,0
20/11/24;10982000;10304516;1,1
21/11/24;12127000;12991869;0,9
22/11/24;15399000;15217016;1,0
23/11/24;8829000;7643242;1,2
24/11/24;4838000;4619449;1,0
25/11/24;10884000;9791026;1,1
26/11/24;13190000;11128012;1,2
27/11/24;5514000;6905627;0,8
28/11/24;11743000;12664121;0,9
29/11/24;12444000;14993137;0,8
30/11/24;7658000;9513995;0,8
01/12/24;12630000;11442166;1,1
02/12/24;6889000;6270141;1,1
03/12/24;17089000;13796871;1,2
04/12/24;15467000;14752422;1,0
05/12/24;14769000;15489948;1,0
06/12/24;20130000;15448339;1,3
07/12/24;19462000;19185971;1,0
08/12/24;14337000;12864617;1,1
09/12/24;13326000;8819296;1,5
